City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
284,zhezqazghan,47.7833,67.7667,286.47,47,0,7.0,KZ,1714977099
285,kidal,18.4411,1.4078,306.73,17,73,5.13,ML,1714977099
286,kuttampuzha,10.1511,76.7339,306.79,47,57,1.86,IN,1714977099
287,boda,4.3189,17.4695,304.35,45,0,1.19,CF,1714977099
288,konkwesso,10.8469,4.0984,303.74,56,11,3.68,NG,1714977099
289,pandan,14.0453,124.1694,303.05,67,97,5.87,PH,1714977100
290,cidade velha,14.9167,-23.6167,296.41,60,20,4.12,CV,1714977100
291,muynoq,43.7683,59.0214,296.69,34,100,4.98,UZ,1714977100
292,uptown,49.2137,-122.9248,283.18,88,100,2.57,CA,1714977100
293,naze,28.3667,129.4833,296.66,84,99,5.08,JP,1714977100
294,acarau,-2.8856,-40.12,298.17,92,99,4.01,BR,1714977101
295,holdenville,35.0804,-96.3992,290.4,96,0,1.79,US,1714977101
296,buckie,57.6757,-2.9624,284.29,98,100,1.35,GB,1714977101
297,saltpond,5.2091,-1.0606,300.29,87,44,2.05,GH,1714977101
298,chui,-33.6971,-53.4616,292.29,96,100,1.12,UY,1714977101
299,venadillo,4.7193,-74.9292,295.23,93,100,1.77,CO,1714977102
300,angaur state,6.906,134.13,301.95,70,100,5.22,PW,1714977102
301,aginskoye,51.1,114.53,291.33,30,93,2.34,RU,1714977102
302,kapan,39.2075,46.4058,287.06,87,100,1.8,AM,1714977102
303,bandarbeyla,9.4942,50.8122,303.76,64,100,2.25,SO,1714977102
304,nova sintra,14.8667,-24.7167,296.17,79,4,7.66,CV,1714977103
305,newport,51.5877,-2.9984,285.07,93,100,1.81,GB,1714977103
306,kasoa,5.533,-0.4224,301.4,86,9,2.16,GH,1714977103
307,tazovsky,67.4667,78.7,269.0,91,100,5.09,RU,1714977103
308,laojunmiao,39.8333,97.7333,296.65,7,99,9.59,CN,1714977103
309,vilyuchinsk,52.9306,158.4028,281.3,76,93,2.17,RU,1714977104
310,camana,-16.6228,-72.7111,292.6,93,99,2.2,PE,1714977104
311,neka,36.6508,53.299,296.88,69,75,8.23,IR,1714977104
312,mbala,-8.8402,31.3659,293.51,65,52,1.93,ZM,1714977104
313,raduzhny,62.0961,77.475,271.57,83,100,9.98,RU,1714977104
314,st. john's,47.5649,-52.7093,274.25,95,20,6.69,CA,1714977105
315,ingeniero guillermo n. juarez,-23.9,-61.85,296.44,60,6,4.45,AR,1714977105
316,new norfolk,-42.7826,147.0587,288.87,71,10,0.57,AU,1714977105
317,gizo,-8.103,156.8419,302.61,71,91,0.94,SB,1714977105
318,xilin hot,43.9667,116.0333,293.31,18,98,5.43,CN,1714977105
319,kiunga,-6.1219,141.2906,297.87,99,100,1.36,PG,1714977106
320,iaciara,-14.0958,-46.6317,295.55,63,98,1.3,BR,1714977106
321,mamuju,-2.6748,118.8885,301.91,80,100,1.83,ID,1714977106
322,la passe,45.5549,-0.8967,286.47,75,3,7.39,FR,1714977106
323,woolgoolga,-30.1106,153.2007,291.08,83,100,5.31,AU,1714977106
324,nyaunglebin,17.95,96.7333,314.56,22,22,3.86,MM,1714977107
325,qarazhal,48.0078,70.7903,286.97,35,100,3.13,KZ,1714977107
326,ivdel',60.6911,60.4206,276.59,46,100,3.13,RU,1714977107
327,ji'an,27.1172,114.9793,301.26,54,100,0.51,CN,1714977107
328,terrace,54.5163,-128.6035,281.1,76,100,6.17,CA,1714977108
329,pont rouge,48.8833,-72.0825,283.31,93,100,2.68,CA,1714977108
330,sao paulo de olivenca,-3.3783,-68.8725,296.28,99,100,0.58,BR,1714977108
331,zag,46.9441,99.165,294.06,12,11,4.15,MN,1714977108
332,shasta lake,40.6804,-122.3708,282.3,76,12,1.85,US,1714977108
333,al jubayl,27.0112,49.6583,306.08,30,3,7.75,SA,1714977109
334,tsengel,49.4783,100.8894,297.69,16,0,3.3,MN,1714977109
335,man,7.4125,-7.5538,296.95,99,100,1.41,CI,1714977109
336,sisimiut,66.9395,-53.6735,263.56,87,87,2.83,GL,1714977109
337,khovd,48.0056,91.6419,300.3,7,38,7.18,MN,1714977109
338,itaituba,-4.2761,-55.9836,296.64,99,62,0.55,BR,1714977110
339,merritt,50.1123,-120.7942,279.69,84,100,2.89,CA,1714977110
340,vila franca do campo,37.7167,-25.4333,291.42,99,100,4.66,PT,1714977110
341,san rafael,-34.6177,-68.3301,282.05,73,0,2.36,AR,1714977110
342,guerrero negro,27.9769,-114.0611,288.13,74,43,9.21,MX,1714977110
343,egilsstadir,65.2653,-14.3948,275.1,69,75,4.12,IS,1714977111
344,priargunsk,50.3691,119.1012,290.97,26,100,2.91,RU,1714977111
345,timbuktu,16.7735,-3.0074,303.99,6,46,4.27,ML,1714977111
346,eduardo castex,-35.915,-64.2945,285.75,98,100,2.95,AR,1714977111
347,chiredzi,-21.05,31.6667,298.26,39,0,0.58,ZW,1714977111
348,funafuti,-8.5243,179.1942,303.15,79,75,1.03,TV,1714977112
349,balikpapan,-1.2675,116.8289,301.7,84,20,2.06,ID,1714977112
350,howard springs,-12.497,131.047,306.47,58,8,1.79,AU,1714977112
351,kas,36.2018,29.6377,294.89,39,0,2.36,TR,1714977112
352,huarmey,-10.0681,-78.1522,291.5,94,14,5.48,PE,1714977112
353,carolina beach,34.0352,-77.8936,296.18,92,78,5.15,US,1714977113
354,al bawiti,28.3492,28.8659,293.28,49,0,4.5,EG,1714977113
355,bodo,67.28,14.405,280.34,57,0,10.29,NO,1714977113
356,upata,8.0086,-62.3989,298.26,89,76,2.63,VE,1714977113
357,saipan,15.1355,145.701,304.54,58,40,6.17,MP,1714977113
358,port isabel,26.0734,-97.2086,300.17,87,100,5.66,US,1714977114
359,waingapu,-9.6567,120.2641,302.79,66,95,6.37,ID,1714977114
360,greymouth,-42.4667,171.2,282.2,83,5,1.7,NZ,1714977114
361,henderson,36.0397,-114.9819,289.47,19,0,6.17,US,1714977093
362,arno,60.1167,18.6333,275.81,70,86,6.12,SE,1714977114
363,fairfield glade,36.0004,-84.8863,289.78,98,100,0.0,US,1714977114
364,chunskiy,56.0815,99.6342,300.19,29,100,7.43,RU,1714977115
365,port saint john's,-31.6229,29.5448,298.98,36,0,2.98,ZA,1714977115
366,cannonvale,-20.2833,148.7,295.7,82,100,5.65,AU,1714977115
367,impfondo,1.6381,18.0667,303.65,48,4,1.51,CG,1714977115
368,betio village,1.358,172.9211,302.17,74,100,5.48,KI,1714977116
369,verdal,63.7933,11.4817,284.17,63,100,3.61,NO,1714977116
370,kayangel,8.0823,134.7173,301.97,69,100,5.06,PW,1714977116
